dates,hospitalizaciones
4/16/2020,163
4/17/2020,165
4/18/2020,168
4/19/2020,157
4/20/2020,125
4/21/2020,145
4/22/2020,157
4/23/2020,173
4/24/2020,180
4/25/2020,165
4/26/2020,166
4/27/2020,161
4/28/2020,177
4/29/2020,201
4/30/2020,200
5/1/2020,187
5/2/2020,171
5/3/2020,152
5/4/2020,140
5/5/2020,144
5/6/2020,164
5/7/2020,161
5/8/2020,148
5/9/2020,143
5/10/2020,159
5/11/2020,127
5/12/2020,152
5/13/2020,159
5/14/2020,147
5/15/2020,144
5/16/2020,150
5/17/2020,147
5/18/2020,121
5/19/2020,110
5/20/2020,114
5/21/2020,96
5/22/2020,106
5/23/2020,106
5/24/2020,112
5/25/2020,104
5/26/2020,105
5/27/2020,120
5/28/2020,101
5/29/2020,106
5/30/2020,99
5/31/2020,99
6/1/2020,106
6/2/2020,107
6/3/2020,114
6/4/2020,116
6/5/2020,100
6/6/2020,105
6/7/2020,107
6/8/2020,95
6/9/2020,97
6/10/2020,91
6/11/2020,92
6/12/2020,117
6/13/2020,110
6/14/2020,104
6/15/2020,94
6/16/2020,78
6/17/2020,73
6/18/2020,78
6/19/2020,83
6/20/2020,71
6/21/2020,70
6/22/2020,77
6/23/2020,80
6/24/2020,85
6/25/2020,89
6/26/2020,105
6/27/2020,99
6/28/2020,104
6/29/2020,102
6/30/2020,121
7/1/2020,97
7/2/2020,104
7/3/2020,100
7/4/2020,118
7/5/2020,115
7/6/2020,122
7/7/2020,127
7/8/2020,147
7/9/2020,140
7/10/2020,174
7/11/2020,174
7/12/2020,159
7/13/2020,206
7/14/2020,254
7/15/2020,280
7/16/2020,302
7/17/2020,316
7/18/2020,315
7/19/2020,336
7/20/2020,375
7/21/2020,415
7/22/2020,442
7/23/2020,460
7/24/2020,496
7/25/2020,496
7/26/2020,509
7/27/2020,469
7/28/2020,495
7/29/2020,504
7/30/2020,488
7/31/2020,508
8/1/2020,506
8/2/2020,533
8/3/2020,509
8/4/2020,507
8/5/2020,456
8/6/2020,440
8/7/2020,399
8/8/2020,424
8/9/2020,423
8/10/2020,439
8/11/2020,447
8/12/2020,466
8/13/2020,428
8/14/2020,406
8/15/2020,393
8/16/2020,400
8/17/2020,392
8/18/2020,361
8/19/2020,390
8/20/2020,392
8/21/2020,401
8/22/2020,370
8/23/2020,363
8/24/2020,391
8/25/2020,397
8/26/2020,403
8/27/2020,409
8/28/2020,365
8/29/2020,365
8/30/2020,383
8/31/2020,392
9/1/2020,373
9/2/2020,349
9/3/2020,382
9/4/2020,369
9/5/2020,377
9/6/2020,372
9/7/2020,380
9/8/2020,400
9/9/2020,421
9/10/2020,401
9/11/2020,420
9/12/2020,396
9/13/2020,414
9/14/2020,408
9/15/2020,434
9/16/2020,444
9/17/2020,435
9/18/2020,403
9/19/2020,384
9/20/2020,386
9/21/2020,369
9/22/2020,376
9/23/2020,364
9/24/2020,376
9/25/2020,342
9/26/2020,349
9/27/2020,339
9/28/2020,353
9/29/2020,327
9/30/2020,316
10/1/2020,339
10/2/2020,348
10/3/2020,319
10/4/2020,321
10/5/2020,322
10/6/2020,325
10/7/2020,315
10/8/2020,354
10/9/2020,347
10/10/2020,324
10/11/2020,314
10/12/2020,303
10/13/2020,343
10/14/2020,354
10/15/2020,341
10/16/2020,317
10/17/2020,292
10/18/2020,327
10/19/2020,378
10/20/2020,378
10/21/2020,395
10/22/2020,381
10/23/2020,395
10/24/2020,370
10/25/2020,356
10/26/2020,395
10/27/2020,434
10/28/2020,425
10/29/2020,453
10/30/2020,430
10/31/2020,429
11/1/2020,443
11/2/2020,421
11/3/2020,459
11/4/2020,483
11/5/2020,518
11/6/2020,526
11/7/2020,518
11/8/2020,544
11/9/2020,538
11/10/2020,556
11/11/2020,566
11/12/2020,559
11/13/2020,539
11/14/2020,515
11/15/2020,533
11/16/2020,568
11/17/2020,557
11/18/2020,573
11/19/2020,614
11/20/2020,621
11/21/2020,621
11/22/2020,606
11/23/2020,607
11/24/2020,626
11/25/2020,602
11/26/2020,597
11/27/2020,582
11/28/2020,573
11/29/2020,606
11/30/2020,622
12/1/2020,638
12/2/2020,638
12/3/2020,628
12/4/2020,651
12/5/2020,640
12/6/2020,631
12/7/2020,618
12/8/2020,618
12/9/2020,637
12/10/2020,657
12/11/2020,649
12/12/2020,646
12/13/2020,620
12/14/2020,609
12/15/2020,583
12/16/2020,593
12/17/2020,602
12/18/2020,575
12/19/2020,558
12/20/2020,540
12/21/2020,520
12/22/2020,535
12/23/2020,537
12/24/2020,534
12/25/2020,475
12/26/2020,451
12/27/2020,445
12/28/2020,447
12/29/2020,462
12/30/2020,450
12/31/2020,440
1/1/2021,432
1/2/2021,391
1/3/2021,415
1/4/2021,421
1/5/2021,423
1/6/2021,417
1/7/2021,411
1/8/2021,420
1/9/2021,420
1/10/2021,402
1/11/2021,392
1/12/2021,390
1/13/2021,388
1/14/2021,407
1/15/2021,382
1/16/2021,377
1/17/2021,363
1/18/2021,348
1/19/2021,351
1/20/2021,331
1/21/2021,344
1/22/2021,341
1/23/2021,325
1/24/2021,310
1/25/2021,312
1/26/2021,312
1/27/2021,301
1/28/2021,293
1/29/2021,280
1/30/2021,279
1/31/2021,285
2/1/2021,282
2/2/2021,298
2/3/2021,307
2/4/2021,270
2/5/2021,278
2/6/2021,265
2/7/2021,258
2/8/2021,263
2/9/2021,249
2/10/2021,251
2/11/2021,261
2/12/2021,240
2/13/2021,213
2/14/2021,216
2/15/2021,209
2/16/2021,220
2/17/2021,241
2/18/2021,233
2/19/2021,214
2/20/2021,215
2/21/2021,217
2/22/2021,233
2/23/2021,225
2/24/2021,242
2/25/2021,184
2/26/2021,169
2/27/2021,174
2/28/2021,150
3/1/2021,155
3/2/2021,162
3/3/2021,169
3/4/2021,171
3/5/2021,136
3/6/2021,147
3/7/2021,134
3/8/2021,127
3/9/2021,126
3/10/2021,138
3/11/2021,136
3/12/2021,138
3/13/2021,155
3/14/2021,131
3/15/2021,126
3/16/2021,132
3/17/2021,130
3/18/2021,131
3/19/2021,119
3/20/2021,130
3/21/2021,120
3/22/2021,122
3/23/2021,124
3/24/2021,155
3/25/2021,168
3/26/2021,165
3/27/2021,163
3/28/2021,171
3/29/2021,187
3/30/2021,201
3/31/2021,212
4/1/2021,219
4/2/2021,229
4/3/2021,228
4/4/2021,228
4/5/2021,246
4/6/2021,269
4/7/2021,297
4/8/2021,313
4/9/2021,321
4/10/2021,322
4/11/2021,367
4/12/2021,364
4/13/2021,385
4/14/2021,403
4/15/2021,418
4/16/2021,447
4/17/2021,454
4/18/2021,463
4/19/2021,476
4/20/2021,483
4/21/2021,500
4/22/2021,503
4/23/2021,497
4/24/2021,501
4/25/2021,507
4/26/2021,499
4/27/2021,520
4/28/2021,480
4/29/2021,443
4/30/2021,443
5/1/2021,417
5/2/2021,369
5/3/2021,360
5/4/2021,360
5/5/2021,341
5/6/2021,314
5/7/2021,309
5/8/2021,288
5/9/2021,283
5/10/2021,271
5/11/2021,256
5/12/2021,255
5/13/2021,244
5/14/2021,218
5/15/2021,213
5/16/2021,195
5/17/2021,206
5/18/2021,214
5/19/2021,187
5/20/2021,167
5/21/2021,165
5/22/2021,153
5/23/2021,162
5/24/2021,148
5/25/2021,138
5/26/2021,125
5/27/2021,98
5/28/2021,92
5/29/2021,92
5/30/2021,76
5/31/2021,70
6/1/2021,82
6/2/2021,75
6/3/2021,75
6/4/2021,69
6/5/2021,59
6/6/2021,60
6/7/2021,71
6/8/2021,60
6/9/2021,58
6/10/2021,48
6/11/2021,45
6/12/2021,48
6/13/2021,39
6/14/2021,37
6/15/2021,50
6/16/2021,43
6/17/2021,48
6/18/2021,37
6/19/2021,42
6/20/2021,39
6/21/2021,35
6/22/2021,47
6/23/2021,49
6/24/2021,43
6/25/2021,37
6/26/2021,40
6/27/2021,38
6/28/2021,25
6/29/2021,32
6/30/2021,44
7/1/2021,33
7/2/2021,24
7/3/2021,31
7/4/2021,25
7/5/2021,26
7/6/2021,25
7/7/2021,26
7/8/2021,33
7/9/2021,32
7/10/2021,34
7/11/2021,43
7/12/2021,41
7/13/2021,57
7/14/2021,59
7/15/2021,56
7/16/2021,61
7/17/2021,57
7/18/2021,60
7/19/2021,67
7/20/2021,83
7/21/2021,86
7/22/2021,81
7/23/2021,90
7/24/2021,85
7/25/2021,83
7/26/2021,95
7/27/2021,117
7/28/2021,116
7/29/2021,129
7/30/2021,145
7/31/2021,150
8/1/2021,159
8/2/2021,175
8/3/2021,206
8/4/2021,207
8/5/2021,226
8/6/2021,263
8/7/2021,260
8/8/2021,296
8/9/2021,292
8/10/2021,311
8/11/2021,315
8/12/2021,338
8/13/2021,374
8/14/2021,379
8/15/2021,398
8/16/2021,419
8/17/2021,427
8/18/2021,449
8/19/2021,461
8/20/2021,482
8/21/2021,472
8/22/2021,468
8/23/2021,494
8/24/2021,499
8/25/2021,515
8/26/2021,493
8/27/2021,460
8/28/2021,458
8/29/2021,462
8/30/2021,479
8/31/2021,477
